0,1,2,3,4,5
11020CHE 496000,專題研究二Undergraduate Research (II),指導教授,4,4.23,0.13
11020CHE 500200,分子工程二Molecular Engineering (II),"周鶴修CHOU, HO-HSIU",12,3.94,0.29
11020CHE 505000,高等輸送現象Advanced Transport Phenomena,"潘詠庭PAN, YUNG-TIN",3,4,0.24
11020CHE 508000,化工原理二Chemical Engineering Principles (II),"蔡德豪TSAI, DE-HAO楊東翰YANG, TUNG-HAN",14,4.15,0.22
11020CHE 510000,書報討論Seminar,"楊東翰YANG, TUNG-HAN",119,3.97,0.17
11020CHE 512000,電化學分析技術與應用Electrochemical Analytical Techniques and Applications,"胡啟章HU, CHI-CHANG",22,3.79,0.53
11020CHE 512500,實驗設計與品質工程Experimental Design and Quality Engineering,"胡啟章HU, CHI-CHANG",14,3.89,0.47
11020CHE 515200,化學產品創意設計Creative Design and Development of Chemical Products,盧詩磊 ,42,3.9,0.24
11020CHE 518000,高分子生物材料Macromolecules as Biomaterials,"王潔WANG, JANE",17,4.25,0.15
11020CHE 524000,數據科學與決策科技Data Science and Decision Technology,"張良志CHANG, LIANG-JYH",24,3.88,0.45
11020CHE 546500,高等高分子物理Special Topics in Condensed Polymer Physics,"陳信龍CHEN, HSIN-LUNG何榮銘HO, RONG-MING",20,3.46,0.69
11020CHE 549000,高分子加工Polymer Processing,"張榮語CHANG, RONG-YEU",12,3.75,0.31
11020CHE 555000,膠體界面科學與科技特論Introduction to Colloid and Interface Science & Technology,"蔡德豪TSAI, DE-HAO",17,4.19,0.18
11020CHE 575000,材料相平衡Phase Equilibria of Materials,"陳信文CHEN, SINN-WEN",5,3.8,0.56
11020CHE 576000,金屬奈米材料Metal Nanomaterials,"楊東翰YANG, TUNG-HAN",30,4.15,0.28
11020CHE 581000,電子顯微鏡於軟物質研究之應用Applications of Electron Microscopy in soft Matter,"何榮銘HO, RONG-MING",8,3.91,0.44
11020CHE 582000,電化學能源Electrochemical Energy Storage and Conversion,"衛子健WEI, TZU-CHIEN",39,4.14,0.22
11020CHE 585000,現代半導體/積體電路製造基礎Fundamentals of Modern Semiconductor/IC Manufacturing,"簡嘉宏JAN, HIA-HONG",50,4.11,0.23
11020CHE 589000,工業微生物學Industrial Microbiology,"朱一民CHU, I-MIN",36,4.11,0.31
11020CHE 590000,分子生物技術Molecular Biotechnology,"胡育誠HU, YU-CHEN",15,4.02,0.53
11020CHEM102001,普通化學二General Chemistry (II),"朱立岡CHU, LI-KANG",122,2.47,1.31
11020CHEM102002,普通化學二General Chemistry (II),"洪嘉呈HORNG, JIA-CHERNG",172,2.24,1.32
11020CHEM102003,普通化學二General Chemistry (II),"黃國柱HWANG, KUO-CHU",168,2.86,1.11
11020CHEM102004,普通化學二General Chemistry (II),"游靜惠YU, CHIN-HUI",7,2.34,0.82
11020CHEM103001,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",55,3.21,0.59
