0,1,2,3,4,5
11010CHEM103007,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",60,3.91,0.26
11010CHEM103008,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",52,3.64,0.54
11010CHEM103009,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",52,3.47,0.65
11010CHEM103010,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",57,3.73,0.38
11010CHEM103011,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",50,3.81,0.29
11010CHEM221001,有機化學一Organic Chemistry (I),"陳建添CHEN, CHIEN-TIEN",88,3.09,1.36
11010CHEM221002,有機化學一Organic Chemistry (I),"汪炳鈞UANG, BIING-JIUN",166,2.71,1.25
11010CHEM223001,有機化學實驗一Organic Chemistry Laboratory(I),"張書硏CHANG, SHU-YEN林芳齡LIN,FANG-LING",36,3.98,0.11
11010CHEM223002,有機化學實驗一Organic Chemistry Laboratory(I),"張書硏CHANG, SHU-YEN林芳齡LIN,FANG-LING",37,3.9,0.24
11010CHEM223003,有機化學實驗一Organic Chemistry Laboratory(I),"張書硏CHANG, SHU-YEN林芳齡LIN,FANG-LING",36,3.93,0.16
11010CHEM223004,有機化學實驗一Organic Chemistry Laboratory(I),"張書硏CHANG, SHU-YEN林芳齡LIN,FANG-LING",26,3.83,0.4
11010CHEM241001,物理化學一Physical Chemistry (I),"鄭博元CHENG, PO-YUAN",93,2.3,1.55
11010CHEM293000,應用數學Applied Mathematics,"周佳駿CHOU, CHIA-CHUN",72,3.63,0.88
11010CHEM311000,分析化學一Analytical Chemistry (I),"陳貴通TAN, KUI THONG",71,3.08,1.18
11010CHEM313001,分析化學實驗一Analytical Chemistry Laboratory (I),"廖英孝LIAO, YING-HSIAO",27,3.86,0.56
11010CHEM313002,分析化學實驗一Analytical Chemistry Laboratory (I),"廖英孝LIAO, YING-HSIAO",38,3.87,0.55
11010CHEM331000,無機化學一Inorganic Chemistry (I),"彭之皓PENG, CHI-HOW黃暄益HUANG MICHAEL HSUAN-YI",81,3.1,1.21
11010CHEM337000,材料化學導論Introduction to Materials Chemistry,"王素蘭WANG, SUE-LEIN黃暄益HUANG MICHAEL HSUAN-YI",42,3.3,0.93
11010CHEM343000,物理化學三Physical Chemistry (III),"陳益佳CHEN, I-CHIA",24,3.47,0.85
11010CHEM345001,物理化學實驗二Physical Chemistry Laboratory (II),"莊晴如CHUANG, CHING-JU",32,3.88,0.54
11010CHEM345002,物理化學實驗二Physical Chemistry Laboratory (II),"莊晴如CHUANG, CHING-JU",21,3.97,0.42
11010CHEM345003,物理化學實驗二Physical Chemistry Laboratory (II),"莊晴如CHUANG, CHING-JU",32,3.83,0.49
11010CHEM345004,物理化學實驗二Physical Chemistry Laboratory (II),"莊晴如CHUANG, CHING-JU",32,3.83,0.46
11010CHEM350000,生物化學導論Introduction to Biochemistry,"余靖YU, CHIN",48,3.6,0.91
11010CHEM423000,核磁共振光譜Nuclear Magnetic Resonance Spectroscopy,"余靖YU, CHIN",17,3.03,1.17
11010CHEM461000,書報討論 (有機無機組)Seminar- Organic and Inorganic Chemistry,"黃郁文HUANG, YU-WEN",36,3.89,0.32
11010CHEM462000,書報討論 (物化分析組）Seminar-Physical and Analytical Chemistry,"楊家銘YANG, CHIA-MIN",12,3.45,1.14
11010CHEM465000,專題演講一Colloquium (I),"江昀緯CHIANG, YUN-WEI",6,3.5,0.86
11010CHEM480000,專題研究一Undergraduate Research (I),指導教授,21,4.23,0.13
11010CHEM500000,教學實習一Teaching Internship (I),指導教授,95,4.24,0.12
