course_ID_full_orig,course_ID,course_num,department,course_title_zh,course_title_eng,credit_unit,limit,new_only,gen_cat,language,room_and_time_orig,time,building,instructor,memo,prerequisite,limitation,speciality,program,extra_enrollment,required_or_elective
11110PE  111032,PE 111032,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"謝文偉	HSIEH, WEN-WEI",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限電機系大學部1年級華班,--,--,O 接受 Allowed,電機系111BB必修
11110PE  111033,PE 111033,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"劉振華	FIU, CHEN-HUA",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限醫科系大學部1年級,--,--,O 接受 Allowed,醫科系111B必修
11110PE  111034,PE 111034,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"簡敏惠	CHIEN, MIN-HUI",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限生科系大學部1年級,--,--,O 接受 Allowed,生科系111B必修
11110PE  111035,PE 111035,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"許仁豪	HSU,JEN-HAO",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限生科院學士班大學部1年級,--,--,O 接受 Allowed,生科院學士班111B必修
11110PE  111036,PE 111036,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"曾鈺婷	TSENG, YU-TING",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限運科系大學部1年級,--,--,O 接受 Allowed,運科系111B必修
11110PE  111037,PE 111037,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"高子人	KAO,TZU-JEN",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限教科系大學部1年級,--,--,O 接受 Allowed,教科系111B必修
11110PE  111038,PE 111038,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"何吉星	HE,CHI-HSING",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限幼教系大學部1年級,--,--,O 接受 Allowed,幼教系111B必修
11110PE  111039,PE 111039,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"高子人	KAO,TZU-JEN",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限特教系大學部1年級,--,--,O 接受 Allowed,特教系111B必修
11110PE  111040,PE 111040,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"王嬿婷	WANG, YEN-TING",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限教育學院學士班大學部1年級,--,--,O 接受 Allowed,教育學院學士班111B必修
11110PE  111041,PE 111041,PE1110,PE   體育室,大一體育,Physical Education,0,--,0,--,中文 ZH,--,--,--,"林家傑	LIN, CHIA-CHIEH",集合地點email通知。校友館上羽球課請備乾淨室內鞋;重大或特殊傷病者請主動說明,--,限英教系大學部1年級,--,--,O 接受 Allowed,英教系111B必修
