0,1,2,3,4,5
10920CHEM314002,分析化學實驗二Analytical Chemistry Laboratory (II),"廖英孝LIAO, YING-HSIAO",20,4.07,0.31
10920CHEM326000,光譜分析Spectroscopic Analysis,"胡紀如HWU, JIH-RU",24,4.03,0.3
10920CHEM328000,當代化學論壇Contemporary  Research in Chemistry,"帕偉鄂本URBAN, PAWEL LUKASZ",29,3.85,0.88
10920CHEM329001,光譜分析實驗Spectroscopic Analysis Laboratory,"胡紀如HWU, JIH-RU",21,3.94,0.27
10920CHEM332000,無機化學二Inorganic Chemistry (II),"蔡易州TSAI, YI-CHOU",91,2.59,1.34
10920CHEM463000,書報討論二(有機無機組)Seminar-Organic and Inorganic Divisions (II),"蔡易州TSAI, YI-CHOU",34,3.33,0.9
10920CHEM464000,書報討論二(物化分析組)Seminar-Physical and Analytical Chemistry (II),"朱立岡CHU, LI-KANG",27,3.48,0.85
10920CHEM466000,專題演講二Colloquium (II),"林俊成LIN, CHUN-CHENG",11,3.43,1.19
10920CHEM481000,專題研究二Undergraduate Research (II),指導教授,9,4.23,0.12
10920CHEM500500,教學實習二Teaching Internship (II),指導教授,79,4.23,0.13
10920CHEM501500,同步輻射應用Applications of Synchrotron Radiation,"李耀昌LEE, YAO-CHANG",30,3.53,0.43
10920CHEM502500,表面化學Surface Chemistry,"楊耀文YANG, YAW-WEN",4,3.83,0.37
10920CHEM504500,蛋白質結構與化學Protein Structure and Chemistry,"洪嘉呈HORNG, JIA-CHERNG",26,3.76,0.53
10920CHEM504600,電化學導論及應用Electrochemistry Fundamentals and Applications,"王育恒WANG, YU-HENG",3,4.3,0
10920CHEM506000,生物無機化學Bioinorganic Chemistry,"廖文峯LIAW, WEN-FENG",11,3.69,0.75
10920CHEM507500,高等生物化學Advanced Biochemistry,"余靖YU, CHIN",6,4.25,0.11
10920CHEM509500,分子光化學Molecular Photochemistry,"陳益佳CHEN, I-CHIA",6,3.58,1.6
10920CHEM512000,生醫分析Biomedical Analysis,"陳貴通TAN, KUI THONG",21,3.58,0.44
10920CHEM530500,新穎高分子化學合成Chemistry in Modern Polymer Synthesis,"彭之皓PENG, CHI-HOW",18,4.1,0.2
10920CHEM538000,統計熱力學Statistical Thermodynamics,"周佳駿CHOU, CHIA-CHUN",17,4.19,0.2
10920CHEM540500,量子動力學導論Introduction to Quantum Dynamics,"周佳駿CHOU, CHIA-CHUN",23,3.97,0.51
10920CHEM542000,雷射化學及光譜Laser Chemistry and Spectroscopy,"鄭博元CHENG, PO-YUAN",11,3.85,0.25
10920CHEM549000,奈米材料化學Nanomaterial Chemistry,黃暄益HUANG MICHAEL HSUAN-YI,8,3.63,0.67
10920CHEM550000,觸媒化學Heterogeneous Catalysis,"楊家銘YANG, CHIA-MIN",6,3.65,0.57
10920CHEM551000,應用化學特論Special Topics in Applied Chemistry,"彭之皓PENG, CHI-HOW",67,4.21,0.15
10920CHEM553500,研究專題討論二Seminar II,指導教授,79,4.17,0.15
10920CHEM562000,書報討論(有機組)Seminar - Organic Division,"陳建添CHEN, CHIEN-TIEN",25,4.02,0.26
10920CHEM564000,書報討論(物化組)Seminar - Physical Chemistry Division,"江昀緯CHIANG, YUN-WEI",19,3.84,0.44
10920CHEM566000,書報討論(無機組)Seminar - Inorganic,黃暄益HUANG MICHAEL HSUAN-YI,22,3.96,0.23
10920CHEM568000,書報討論(分析組)Seminar - Analytical Chemistry Division,"帕偉鄂本URBAN, PAWEL LUKASZ",11,4.3,0
10920CHEM570000,專題演講Colloquium,"林俊成LIN, CHUN-CHENG",108,4.08,0.56
10920CHEM578500,同相催化Homogeneous Catalysis,"劉瑞雄LIU, JUI-HSIUNG",23,3.79,0.24
10920CHEM598000,化學生物二Chemical Biology,"林俊成LIN, CHUN-CHENG王聖凱WANG, SHENG-KAI陳一瑋CHEN, YI-WEI",14,3.88,0.34
10920CHEM620000,化學教學實習Teaching Practice,指導教授,8,4.19,0.21
10920CHEM624000,有機合成二Organic Synthesis (II),"黃郁文HUANG, YU-WEN",22,3.74,0.62
10920CHEM651000,研究專題討論二Seminar II,指導教授,15,4.17,0.28
10920CHEM662000,書報討論(有機組)Seminar - Organic Division,"陳建添CHEN, CHIEN-TIEN",3,4,0.24
10920CHEM663000,書報討論(物化組)Seminar - Physical Chemistry Division,"江昀緯CHIANG, YUN-WEI",3,4.3,0
10920CHEM666000,書報討論(無機組)Seminar - Inorganic,黃暄益HUANG MICHAEL HSUAN-YI,6,3.88,0.31
10920CHEM668000,書報討論(分析組)Seminar - Analytical Chemistry Division,"帕偉鄂本URBAN, PAWEL LUKASZ",1,4.3,0
10920CL  102001,大學中文College Chinese,"王月秀WANG, YUE-SHIOU",24,3.46,0.88
10920CL  102002,大學中文College Chinese,"黃鈴棋HUANG, LING-CHI",24,3.91,0.16
