0,1,2,3,4,5,6,7,8,9,10,11
11110BME 504400,            前瞻生物醫學技術概論Introduction of Frontier Biomedical Technology,3,      F2F3F4,      GEN II綜二614／容量24,"裘正健CHIU, JENG-JIANN",15,限大四以上選修 排除大學部1年級2年級3年級,6,       , ,
11110BME 504600,            液態生物檢體與轉譯醫學應用Liquid biopsy and its applications in translational medicine,3,      M2M3M4,      NTHU Lab清實319／容量10,"林幸瑩LIN, HSING-YING", ,/Offered in English 修課學生須先經過任課教師同意,1,       , ,
11110BME 504900,            物聯網生醫感測平台於轉譯醫學之應用IoT biomedical sensing platformsin translational medicine application,3,      M5M6M7,      NTHU Lab清實319／容量10,"林幸瑩LIN, HSING-YING", ,/Offered in English 修課學生須先經過任課教師同意,0,       , ,
11110BME 800100,            論文研究Thesis,0,,,指導教授, ,限醫工所博士班,0,       , ,
11110BMES111100,            生醫工程與環境科學導論Introduction to Biomedical Engineering and Environmental Sciences,2,      M7M8M9,      BMES醫環301／容量92,"陳之碩CHEN, CHI-SHUO黃郁棻HUANG, YU-FEN",60,本課程每週上180分鐘 原科院優先，第3次選課起開放全校修習 生醫工程(第二專長)/生醫工程與環境科學(第一專長),3,       , ,
11110BMES211100,            工程數學一Engineering Mathematics I,3,      T7T8T9,      BMES醫環110／容量72,"朱麗安CHU, LI-AN",50,"醫環系大學部2年級,原科院學士班大學部2年級優先，第3次選課起開放全校修習 生醫工程與環境科學(第一專長)",37,       ,   擋修對象 : 醫環系   先修科目 : 微積分二-成績需D以上微積分Ｂ二-成績需D以上微積分二(數學系)-成績需D以上微積分Ａ二-成績需D以上上述條件任選一科，則不擋修。,
11110BMES212100,            機率與統計Probability and Statistics,3,      M3M4W2,      BMES醫環110／容量72,"陳之碩CHEN, CHI-SHUO",60,(跨領域)生物資訊學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程/(跨領域)神經科學學分學程 生醫工程(第二專長)/生醫工程與環境科學(第一專長)/醫學物理(第二專長),58,       ,   擋修對象 : 醫環系   先修科目 : 微積分一-成績需D以上微積分Ａ一-成績需D以上微積分Ｂ一-成績需D以上微積分一(數學系)-成績需D以上曾修微積分一(數學系)(基本科目免修測試)曾修微積分Ａ一(基本科目免修測試)曾修微積分Ｂ一(基本科目免修測試)上述條件任選一科，則不擋修。,
11110BMES213300,            電子學一Electronics I,3,      T3T4R4,      BMES醫環110／容量72,"葉秩光YEH, CHIH-KUANG", ,(跨領域)積體電路設計學分學程 生醫工程(第二專長)/生醫工程與環境科學(第一專長)/醫學物理(第二專長),49,       , ,
11110BMES215100,            有機化學一Organic Chemistry (I),3,      W3W4F3F4,      BMES醫環110／容量72,"俞鐘山YU, CHUNG-SHAN", ,本課程上150分鐘，其餘時間由教授彈性運用 環境科技學程(第二專長)/生醫工程(第二專長)/生醫工程與環境科學(第一專長)/生命科學(第二專長),43,       , ,
11110BMES312101,            生醫電子與儀器實驗Biomedical Electronics and Instrumentation Laboratory,2,      M5M6M7M8,      BMES醫環110／容量72,"葉秩光YEH, CHIH-KUANG",25,醫環系大學部3年級優先，第3次選課起開放全校修習,10,       , ,
