0,1,2,3,4,5,6,7,8
11110CL  101064,大學中文College Chinese,"謝憶凡HSIEH, I-FAN",R5R6,25/25,0,25,8,
11110CL  101065,大學中文College Chinese,"李東龍LI,TUNG-LUNG",R5R6,25/25,0,25,6,
11110CHE 116000,化學工程導論Introduction to Chemical Engineering, ,W9,67,2,65,18,
11110CHE 211001,工程數學一Engineering Mathematics I,"呂世源LU, SHIH-YUAN",T3T4R3,35,33,2,0,
11110CHE 211002,工程數學一Engineering Mathematics I,"潘詠庭PAN, YUNG-TIN",T3T4R3,35,35,0,0,
11110CHE 241001,物理化學一Physical Chemistry (I),"段興宇TUAN, HSING-YU",M3M4W1W2,30,26,4,0,
11110CHE 241002,物理化學一Physical Chemistry (I),"王潔WANG, JANE",M3M4W1W2,30,30,0,0,
11110CHE 301000,能源科技與環境概論Introduction to Energy Technology and Environment,"段興宇TUAN, HSING-YU",T7T8,67,42,25,0,
11110CHE 303001,化工熱力學Chemical Engineering Thermodynamics,"陳信文CHEN, SINN-WEN",T3T4R4,35,35,0,0,
11110CHE 303002,化工熱力學Chemical Engineering Thermodynamics,"何榮銘HO, RONG-MING",T3T4R4,35,34,1,0,
11110CHE 307001,化學反應工程Chemical Reaction Engineering,"胡啟章HU, CHI-CHANG",W3W4F4,35,35,0,0,
11110CHE 307002,化學反應工程Chemical Reaction Engineering,"楊東翰YANG, TUNG-HAN",W3W4F4,35,31,4,0,
11110CHE 309001,儀器分析及實驗一Instrumental Analysis and Lab.(I),堀江正樹MASAKI HORIE,W6W7W8W9,30,28,2,0,
11110CHE 309002,儀器分析及實驗一Instrumental Analysis and Lab.(I),"劉英麟LIU, YING-LING",R6R7R8R9,30,30,0,0,
11110CHE 352001,輸送現象及單元操作一Transport Phenomena and Unit Operations(I),"黃振煌HUANG, JEN-HUANG",M3M4W1W2,35,34,1,0,
11110CHE 352002,輸送現象及單元操作一Transport Phenomena and Unit Operations(I),"陳信龍CHEN, HSIN-LUNG",M3M4W1W2,35,35,0,0,
11110CHE 412000,材料科學Materials Science,"陳信文CHEN, SINN-WEN",T1T2R1R2,無限制,13,無限制,0,
11110CHE 415001,程序設計Process Design,"汪上曉WONG, SHANG-HSIAO",F7F8F9,30,30,0,0,
11110CHE 415002,程序設計Process Design,林育正YU-JENG LIN,F7F8F9,30,30,0,0,
11110CHE 421001,單元操作實驗Unit Operation Laboratory,"蔡德豪TSAI, DE-HAO",T6T7T8T9,30,30,0,0,
11110CHE 421002,單元操作實驗Unit Operation Laboratory,"潘詠庭PAN, YUNG-TIN",R6R7R8R9,30,30,0,0,
11110CHE 455200,生物技術概論Introduction to Biotechnology,"胡育誠HU, YU-CHEN",M2R1R2,無限制,73,無限制,0,
11110CHE 485000,半導體材料與製造技術Semiconductor Materials and Manufacturing Technology,"謝昌志HSIEH,CHANG-JYH",M6M7M8,無限制,15,無限制,0,
11110CHE 495000,專題研究一Undergraduate Research (I),指導教授, ,無限制,6,無限制,0,
11110CHE 496000,專題研究二Undergraduate Research (II),指導教授, ,無限制,31,無限制,0,
11110CHE 500100,分子工程一Molecular Engineering (I),"周鶴修CHOU, HO-HSIU",M7M8M9,無限制,19,無限制,0,
11110CHE 501000,高等化工熱力學Advanced Chem. Engineering Thermodynamics,"林昆翰LIN, KUN-HAN",R5R6R7,無限制,5,無限制,0,
11110CHE 503000,高等化學反應工程Advanced Chemical Reaction Engineering,"衛子健WEI, TZU-CHIEN",R2R3R4,40,8,32,12,
11110CHE 507000,化工原理一Chemical Engineering Principles (I),"蔡德豪TSAI, DE-HAO",F2F3F4,無限制,4,無限制,0,
11110CHE 509000,書報討論Seminar,"林昆翰LIN, KUN-HAN",W7W8,165,81,84,31,
11110CHE 512100,石油化學工業Petroleum Chemistry,谷家嵩,M7M8M9,30,29,1,14,
11110CHE 512600,代謝工程與生質化學品概論Metabolic Engineering and Renewable Chemical Production,"沈若樸SHEN, CLAIRE-ROAPU",T6T7T8,25,3,22,4,
11110CHE 516500,溫室氣體減量技術Greenhouse gas control technologies,林育正YU-JENG LIN,F3F4,60,9,51,2,
11110CHE 517000,高等程序控制Advanced Process Control,"鄭西顯JANG, SHI-SHANG",W2W3W4,無限制,5,無限制,0,
11110CHE 520000,論文研究Thesis,指導教授, ,無限制,46,無限制,0,
11110CHE 522500,小角度散射原理與應用Principles and Applications of Small Angle Scattering,"陳信龍CHEN, HSIN-LUNG",T2T3T4,無限制,8,無限制,0,
11110CHE 525000,化工中的數據科學與人工智慧Data science and artificial intelligence in chemical engineering,"姚遠YAO, YUAN",M7M8M9,30,3,27,3,
11110CHE 533000,同步輻射在物質結構上的應用Synchrotron applications in structural analysis,"鄭有舜JENG, U-SER",M6M7M8,15,10,5,4,
11110CHE 541200,人工器官與組織工程Artificial Organs and Tissue Engineering,"宋信文SUNG, HSING-WEN",T2T3T4,無限制,8,無限制,0,
11110CHE 545400,高等高分子化學Advanced Polymer Chemistry,"劉英麟LIU, YING-LING堀江正樹MASAKI HORIE",T5T6T7,25,6,19,8,
11110CHE 554000,微流體系統於化工之應用與實作Microfluidic System: Application and Implementation in Chemical Engineering,"黃振煌HUANG, JEN-HUANG",T6T7T8,20,13,7,6,
11110CHE 579500,有機光電Organic Electronics, ,M7M8,無限制,3,無限制,0,
11110CHE 703000,論文研究Thesis,指導教授, ,無限制,10,無限制,0,
11110CHEM100000,普通化學乙General Chemistry (B),"王育恒WANG, YU-HENG",M3M4W1W2,160/120,11,149,24,
11110CHEM101001,普通化學一General Chemistry (I),"廖文峯LIAW, WEN-FENG",M3M4W1W2,160/160,0,160,35,
11110CHEM101002,普通化學一General Chemistry (I),"洪嘉呈HORNG, JIA-CHERNG",W3W4F3F4,165/165,0,165,40,
11110CHEM101003,普通化學一General Chemistry (I),"黃國柱HWANG, KUO-CHU",M3M4W1W2,140/140,0,140,32,
11110CHEM101004,普通化學一General Chemistry (I),"楊自雄YANG, TZUHSIUNG",M3M4W1W2,50,30,20,1,
11110CHEM103001,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",M5M6M7M8,45/45,0,45,12,
11110CHEM103002,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",M5M6M7M8,45/45,0,45,8,
11110CHEM103003,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",T5T6T7T8,45/45,0,45,18,
11110CHEM103004,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",T5T6T7T8,45/45,0,45,15,
11110CHEM103005,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",W5W6W7W8,45/45,0,45,22,
11110CHEM103006,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",R5R6R7R8,45/45,0,45,19,
11110CHEM103007,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",R5R6R7R8,45/45,0,45,17,
11110CHEM103008,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",F5F6F7F8,45/45,0,45,11,
11110CHEM103009,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",F5F6F7F8,43/43,0,43,6,
11110CHEM103010,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",W1W2W3W4,45/45,0,45,13,
11110CHEM103011,普通化學實驗一General Chemistry Laboratory (I),"廖翊雅LIAO, YI-YA",W1W2W3W4,45/45,0,45,11,
11110CHEM221001,有機化學一Organic Chemistry (I),"林俊成LIN, CHUN-CHENG",T1T2F1F2,100,83,17,0,
11110CHEM221002,有機化學一Organic Chemistry (I),"汪炳鈞UANG, BIING-JIUN",W3W4F3F4,160,145,15,0,
11110CHEM223001,有機化學實驗一Organic Chemistry Laboratory(I),"林芳齡LIN,FANG-LING",M5M6M7M8,33,33,0,0,
11110CHEM223002,有機化學實驗一Organic Chemistry Laboratory(I),"林芳齡LIN,FANG-LING",W5W6W7W8,33,33,0,0,
11110CHEM223003,有機化學實驗一Organic Chemistry Laboratory(I),"林芳齡LIN,FANG-LING",R5R6R7R8,33,33,0,0,
11110CHEM223004,有機化學實驗一Organic Chemistry Laboratory(I),"林芳齡LIN,FANG-LING",F5F6F7F8,33,27,6,0,
11110CHEM241001,物理化學一Physical Chemistry (I),"鄭博元CHENG, PO-YUAN",W3W4F3F4,100,93,7,0,
11110CHEM293000,應用數學Applied Mathematics,"周佳駿CHOU, CHIA-CHUN",M1M2R1R2,無限制,84,無限制,0,
11110CHEM310000,有機化學三Organic Chemistry(III),"陳建添CHEN, CHIEN-TIEN",T2F3F4,無限制,51,無限制,0,
11110CHEM311000,分析化學一Analytical Chemistry (I),"陳貴通TAN, KUI THONG",T3T4R3R4,100,73,27,0,
11110CHEM313001,分析化學實驗一Analytical Chemistry Laboratory (I),"廖英孝LIAO, YING-HSIAO",F1F2F3F4,33,14,19,0,
11110CHEM313002,分析化學實驗一Analytical Chemistry Laboratory (I),"廖英孝LIAO, YING-HSIAO",W5W6W7W8,33,33,0,0,
11110CHEM331000,無機化學一Inorganic Chemistry (I),"王育恒WANG, YU-HENG黃暄益HUANG MICHAEL HSUAN-YI",M1M2R1R2,100,80,20,0,
11110CHEM343000,物理化學三Physical Chemistry (III),"楊家銘YANG, CHIA-MIN",M3M4W2,無限制,24,無限制,0,
11110CHEM345001,物理化學實驗二Physical Chemistry Laboratory (II),"莊晴如CHUANG, CHING-JU",M5M6M7M8,30,30,0,0,
11110CHEM345002,物理化學實驗二Physical Chemistry Laboratory (II),"莊晴如CHUANG, CHING-JU",W5W6W7W8,30,19,11,0,
11110CHEM345003,物理化學實驗二Physical Chemistry Laboratory (II),"莊晴如CHUANG, CHING-JU",R5R6R7R8,30,30,0,0,
11110CHEM345004,物理化學實驗二Physical Chemistry Laboratory (II),"莊晴如CHUANG, CHING-JU",F5F6F7F8,30,30,0,0,
11110CHEM350000,生物化學導論Introduction to Biochemistry,"余靖YU, CHIN",T5T6T7,73,73,0,0,
11110CHEM423000,核磁共振光譜Nuclear Magnetic Resonance Spectroscopy,"余靖YU, CHIN",M3M4,45,45,0,0,
