course_ID_full_orig,current_stage_enrollment
11110ECON409300,11
11110ECON412100,100
11110ECON413100,30
11110ECON416700,20
11110ECON425100,50
11110ECON434000,30
11110ECON500100,0
11110ECON503300,5
11110ECON504200,4
11110ECON505000,8
11110ECON506100,8
11110ECON507400,5
11110ECON509100,1
11110ECON513100,22
11110ECON516600,0
11110ECON591100,0
11110ECON609300,6
11110ECON699900,21
11110ECON709500,2
11110ECON800000,0
11110ECON890100,0
11110ECON891100,1
11110EE  202001,19
11110EE  202002,95
11110EE  203001,20
11110EE  203002,20
11110EE  214000,26
11110EE  221001,90
11110EE  221002,40
11110EE  224501,68
11110EE  224502,70
11110EE  225500,80
11110EE  231001,10
11110EE  231002,0
11110EE  240100,35
11110EE  240500,5
11110EE  306000,16
11110EE  313000,9
11110EE  315000,21
11110EE  323000,100
11110EE  323500,125
11110EE  324000,28
11110EE  335000,100
11110EE  336000,1
11110EE  345000,90
11110EE  351000,50
11110EE  364000,80
11110EE  366200,45
11110EE  370000,74
11110EE  382000,26
11110EE  390000,58
11110EE  391000,88
11110EE  410000,10
11110EE  412000,13
11110EE  413000,8
11110EE  415000,16
11110EE  429200,60
11110EE  429400,20
11110EE  432001,30
11110EE  432002,14
11110EE  465000,19
11110EE  466000,34
11110EE  490000,0
11110EE  491000,0
11110EE  521600,54
11110EE  523000,2
11110EE  525000,98
11110EE  541000,31
11110EE  563000,94
11110EE  571000,4
11110EE  581000,14
11110EE  582000,1
11110EE  585000,12
11110EE  591001,16
11110EE  591002,0
11110EE  601000,11
11110EE  626500,4
11110EE  641300,8
11110EE  648500,85
11110EE  665200,3
11110EE  690000,84
11110EE  890000,7
11110EECS101001,28
11110EECS101002,0
11110EECS202000,45
11110EECS203001,43
11110EECS203002,90
11110EECS207001,0
11110EECS207002,75
11110EECS208000,36
11110EECS302001,71
11110EECS302002,90
11110EECS305000,30
11110EMBA501000,36
11110EMBA504800,36
11110EMBA507300,0
11110EMBA507800,0
11110EMBA508400,46
11110EMBA508900,46
11110EMBA509300,21
11110EMBA509600,5
11110EMBA510600,30
11110EMBA510700,3
11110EMBA510800,0
11110EMD 500100,0
11110EMD 500200,0
11110EMD 500300,0
11110EMD 500400,0
11110EMD 500500,0
11110EMD 500600,0
11110EMD 501100,1
11110EMIM500100,17
11110EMIM500200,1
11110EMIM500300,0
11110EMIM501300,0
11110EMIM600000,19
11110EMM 600100,0
11110EMM 600200,0
11110EMM 600300,0
11110EMM 600400,0
11110EMM 609900,0
11110EMS 500400,0
11110EMS 500600,0
11110EMS 500800,0
11110EMS 501000,0
11110EMS 509900,0
11110ENE 511000,13
11110ENE 522000,32
11110ENE 531000,31
11110ENE 533000,13
11110ENE 538500,6
11110ENE 540000,12
11110ENE 551000,5
11110ENE 552000,3
11110ENE 591000,8
11110ENE 633000,30
11110ENE 636500,28
11110ENE 690000,51
11110ENE 890000,4
11110ESS 102000,0
11110ESS 107000,26
11110ESS 201000,20
11110ESS 202002,0
11110ESS 203001,60
11110ESS 203002,45
11110ESS 220000,120
11110ESS 223000,120
11110ESS 224001,50
11110ESS 224002,40
11110ESS 234000,3
11110ESS 240001,55
11110ESS 240002,55
11110ESS 250100,48
11110ESS 302200,1
11110ESS 303000,33
11110ESS 305001,55
11110ESS 305002,33
11110ESS 323000,77
11110ESS 327001,32
11110ESS 327002,55
11110ESS 327100,16
11110ESS 328000,79
11110ESS 342000,12
11110ESS 351000,28
11110ESS 401000,20
11110ESS 401100,20
11110ESS 410000,21
11110ESS 441500,74
11110ESS 446000,1
11110ESS 451000,36
11110ESS 453000,13
11110ESS 455000,18
11110ESS 461000,77
11110ESS 482000,22
11110ESS 498000,8
11110ESS 499000,51
11110ESS 500000,74
11110ESS 501001,4
11110ESS 501002,5
11110ESS 501003,5
11110ESS 501004,27
11110ESS 501005,25
11110ESS 501006,1
11110ESS 507000,9
11110ESS 520000,34
11110ESS 534000,5
11110ESS 534100,2
11110ESS 549000,2
11110ESS 552800,14
11110ESS 553500,13
11110ESS 554500,1
11110ESS 556500,17
11110ESS 558500,2
11110ESS 564400,5
11110ESS 581000,2
11110ESS 582200,9
11110ESS 584700,7
11110ESS 585000,0
11110ESS 643000,4
11110ESS 698000,24
11110ESS 998000,5
11110EST 710100,3
11110EST 810200,2
11110FL  100300,5
11110FL  100500,10
11110FL  101001,0
11110FL  101002,0
11110FL  101003,0
11110FL  102801,2
11110FL  102802,3
11110FL  102803,1
11110FL  102804,2
11110FL  102805,5
11110FL  102806,5
11110FL  102807,5
11110FL  102808,0
11110FL  102809,3
11110FL  102810,1
11110FL  102811,3
11110FL  103500,11
11110FL  104101,3
11110FL  104102,5
11110FL  200901,13
11110FL  200902,16
11110FL  200903,16
11110FL  201101,23
11110FL  201102,28
11110FL  201103,42
11110FL  201104,42
11110FL  201105,16
11110FL  201106,33
11110FL  201107,13
11110FL  201108,26
11110FL  201109,42
11110FL  201110,42
11110FL  201111,42
11110FL  201112,42
11110FL  201113,17
11110FL  201114,42
11110FL  201115,42
11110FL  201116,42
11110FL  201117,37
11110FL  201118,42
11110FL  201119,42
11110FL  201301,11
11110FL  201302,19
11110FL  201303,23
11110FL  201304,36
11110FL  201305,31
11110FL  201306,32
11110FL  201307,2
11110FL  201501,11
11110FL  201502,15
11110FL  201503,37
11110FL  201504,42
11110FL  201505,42
11110FL  201506,10
11110FL  201507,1
11110FL  201508,3
11110FL  201509,1
11110FL  202800,29
11110FL  203700,20
11110FL  203901,17
11110FL  203902,16
11110FL  203903,20
11110FL  204101,10
11110FL  204102,15
11110FL  204103,10
11110FL  204104,7
11110FL  204105,30
11110FL  204106,29
11110FL  204107,19
11110FL  204108,42
11110FL  204109,33
11110FL  209000,18
11110FL  213700,42
11110FL  300301,10
11110FL  300302,18
11110FL  300303,18
11110FL  300501,12
11110FL  300502,42
11110FL  300503,42
11110FL  300504,30
11110FL  300505,40
11110FL  300506,42
11110FL  300507,25
11110FL  300508,42
11110FL  300509,19
11110FL  300701,9
11110FL  300702,15
11110FL  300901,9
