course_ID_full_orig,current_enrollment,spots_avl,pending_enrollment
11110ESS 323000,77,∞,0
11110ESS 327001,32,23,0
11110ESS 327002,55,0,0
11110ESS 327100,16,0,0
11110ESS 328000,79,∞,0
11110ESS 342000,12,∞,0
11110ESS 351000,28,∞,0
11110ESS 401000,20,10,0
11110ESS 401100,21,∞,0
11110ESS 410000,22,∞,0
11110ESS 441500,74,∞,0
11110ESS 446000,1,∞,0
11110ESS 451000,36,∞,0
11110ESS 453000,14,∞,0
11110ESS 455000,18,12,0
11110ESS 461000,82,∞,0
11110ESS 482000,22,∞,0
11110ESS 498000,8,∞,0
11110ESS 499000,51,∞,0
11110ESS 500000,96,∞,0
11110ESS 501001,5,∞,0
11110ESS 501002,7,∞,0
11110ESS 501003,5,∞,0
11110ESS 501004,36,∞,0
11110ESS 501005,32,∞,0
11110ESS 501006,1,∞,0
11110ESS 507000,9,6,2
11110ESS 520000,49,∞,0
11110ESS 534000,7,∞,0
11110ESS 534100,6,∞,0
11110ESS 549000,3,∞,0
11110ESS 552800,23,∞,0
11110ESS 553500,19,∞,0
11110ESS 554500,2,∞,0
11110ESS 556500,17,19,17
11110ESS 558500,3,∞,0
11110ESS 564400,6,∞,0
11110ESS 581000,2,18,6
11110ESS 582200,11,∞,0
11110ESS 584700,7,13,2
11110ESS 585000,5,∞,0
11110ESS 643000,10,∞,0
11110ESS 698000,24,∞,0
11110ESS 998000,5,∞,0
11110EST 710100,3,∞,0
11110EST 810200,2,∞,0
11110FL  100300,5,65,12
11110FL  100500,10,60,13
11110FL  101001,0,18,5
11110FL  101002,0,18,5
11110FL  101003,0,18,0
11110FL  102801,2,23,2
11110FL  102802,3,22,2
11110FL  102803,1,24,2
11110FL  102804,2,23,4
11110FL  102805,5,20,2
11110FL  102806,5,20,1
11110FL  102807,5,20,2
11110FL  102808,0,25,2
11110FL  102809,3,22,5
11110FL  102810,1,24,1
11110FL  102811,3,22,4
11110FL  103500,11,59,13
11110FL  104101,3,27,6
11110FL  104102,5,25,3
11110FL  200901,13,5,0
11110FL  200902,16,2,0
11110FL  200903,16,2,1
11110FL  201101,23,7,0
11110FL  201102,28,14,8
11110FL  201103,42,0,0
11110FL  201104,41,1,4
11110FL  201105,16,26,2
11110FL  201106,33,9,2
11110FL  201107,13,29,2
11110FL  201108,26,16,1
11110FL  201109,42,0,0
11110FL  201110,42,0,0
11110FL  201111,42,0,0
11110FL  201112,42,0,0
11110FL  201113,17,25,1
11110FL  201114,42,0,0
11110FL  201115,42,0,0
11110FL  201116,42,0,0
11110FL  201117,37,5,2
11110FL  201118,42,0,0
11110FL  201119,42,0,0
11110FL  201301,10,20,0
11110FL  201302,19,23,3
11110FL  201303,23,19,1
11110FL  201304,36,6,0
11110FL  201305,31,11,2
11110FL  201306,32,10,1
11110FL  201307,2,40,0
11110FL  201501,11,19,0
11110FL  201502,15,27,1
11110FL  201503,37,5,3
11110FL  201504,42,0,0
11110FL  201505,41,1,0
11110FL  201506,10,32,0
11110FL  201507,1,41,1
11110FL  201508,3,39,0
11110FL  201509,1,41,2
11110FL  202800,29,1,0
11110FL  203700,20,10,0
11110FL  203901,17,3,0
11110FL  203902,16,4,0
11110FL  203903,20,0,0
11110FL  204101,10,20,0
11110FL  204102,15,27,1
11110FL  204103,9,33,0
11110FL  204104,7,35,1
11110FL  204105,30,12,1
11110FL  204106,29,13,2
11110FL  204107,19,23,1
11110FL  204108,41,1,2
11110FL  204109,33,9,0
11110FL  209000,18,12,1
11110FL  213700,42,8,0
11110FL  300301,10,8,0
11110FL  300302,18,0,0
11110FL  300303,18,0,0
11110FL  300501,12,18,0
11110FL  300502,42,0,0
11110FL  300503,42,0,0
11110FL  300504,30,12,0
11110FL  300505,40,2,0
11110FL  300506,42,0,0
11110FL  300507,25,17,0
11110FL  300508,42,0,0
11110FL  300509,19,23,0
11110FL  300701,9,21,0
11110FL  300702,15,15,0
11110FL  300901,9,21,0
11110FL  300902,33,9,0
11110FL  304400,30,0,0
11110FL  305900,7,21,0
11110FL  308700,20,0,0
11110FL  309000,30,0,0
11110FL  310000,15,15,0
11110FL  310100,30,0,0
11110FL  310200,9,21,0
11110FL  327100,20,10,0
11110FL  327300,30,0,0
11110FL  327700,28,0,0
11110FL  328001,11,19,0
11110FL  328002,42,0,0
11110FL  328003,42,0,0
11110FL  328004,42,0,0
11110FL  328005,42,0,0
11110FL  328006,42,0,0
11110FL  328007,9,33,1
11110FL  328008,6,36,4
11110FL  328101,3,27,0
11110FL  328102,27,15,0
11110FL  341600,8,22,0
11110FL  342400,19,11,0
11110FL  343100,11,19,0
11110FL  343400,17,11,0
11110FL  344500,23,7,1
11110FL  350100,11,19,1
11110FL  402500,11,19,0
11110FL  403900,11,17,0
11110FL  404400,7,23,0
11110FL  404401,22,20,0
11110FL  404701,20,10,0
11110FL  404702,39,3,0
11110FL  404703,41,1,0
11110FL  404900,15,15,0
11110FL  405100,20,0,0
11110FL  405400,10,20,0
11110FL  407100,8,22,0
11110FL  416500,11,5,1
11110FL  420700,11,19,0
11110FL  420800,7,23,0
11110FL  421100,18,12,0
11110FL  421300,12,18,0
11110FL  500100,0,18,1
11110FL  513700,3,15,1
11110FL  520100,0,18,0
11110FL  525000,4,14,0
11110FL  560100,0,18,1
11110FL  571800,5,13,1
11110FL  582200,5,13,0
11110FL  592200,0,18,0
11110FL  600100,4,∞,0
11110GE  200101,0,0,0
11110GE  200102,0,0,0
11110GE  200103,0,0,0
11110HIS 233700,9,11,1
11110GEC 170401,30,20,1
11110HIS 233100,33,27,1
11110GEC 170202,44,16,0
11110GEC 160300,45,5,0
11110GEC 161300,45,5,2
11110GEC 170402,45,5,1
11110HIS 213100,47,13,4
11110GEC 161200,53,7,2
11110GEC 112400,53,7,2
11110GEC 111300,54,6,4
11110GEC 161500,54,6,1
11110GEC 170201,54,6,1
11110GEC 112100,54,6,3
11110GEC 170500,54,6,4
11110GEC 110700,54,6,0
11110GEC 110800,57,6,3
11110GEC 112300,57,18,1
11110GEC 110302,63,7,15
11110HIS 233300,70,0,0
11110GEC 110301,79,8,14
11110HIS 213000,120,0,0
11110HIS 232700,160,0,0
11110GEC 150201,16,34,4
11110GEC 150200,19,31,0
11110GEC 150700,27,3,0
11110GEC 150101,34,21,1
11110GEC 111502,44,6,10
11110GEC 150800,44,6,1
11110GEC 120301,45,5,3
11110GEC 120302,45,5,18
11110GEC 120303,45,5,13
11110GEC 120304,45,5,14
11110GEC 111501,45,5,7
11110GEC 111503,45,5,4
11110GEC 110500,53,7,5
11110GEC 150102,54,6,0
11110GEC 120100,54,6,8
11110GEC 120700,72,8,7
11110GEC 120200,89,11,7
11110GEC 150401,144,16,8
11110GEC 150402,144,16,11
11110LS  114300,199,41,11
11110GEC 130401,11,39,0
11110FL  350100,11,19,1
11110GEC 130800,30,20,0
11110GEC 130402,31,19,4
